id,question,option1,option2,option3,option4,correct,level
1,"What does MVC stand for?","Model View Controller","Many Virtual Computers","Modern Visual Code","Multiple Version Control",1,EASY
2,"What does HTML stand for?","Hyper Text Markup Language","High Tech Modern Language","Home Tool Markup Language","Hyperlinks and Text Markup Language",1,EASY
3,"What does CSS stand for?","Cascading Style Sheets","Computer Style Sheets","Creative Style System","Colorful Style Sheets",1,EASY
4,"What does API stand for?","Application Programming Interface","Advanced Programming Interface","Application Protocol Interface","Automated Programming Interface",1,EASY
5,"What does URL stand for?","Uniform Resource Locator","Universal Resource Link","Uniform Retrieval Language","Universal Routing Locator",1,EASY
6,"What does GUI stand for?","Graphical User Interface","General User Interface","Graphic Utility Interface","General Unified Interface",1,EASY
7,"What does HTTP stand for?","Hypertext Transfer Protocol","High Tech Transfer Program","Hyper Terminal Text Protocol","Home Transfer Text Program",1,EASY
8,"What is an algorithm?","A step-by-step procedure for solving a problem","A programming language","A type of computer","A software application",1,EASY
9,"What is a compiler?","Translates code from high-level to machine code","Runs programs","Stores data","Connects to internet",1,EASY
10,"What is Git used for?","Version control","Web design","Database management","Image editing",1,EASY
11,"What is the Agile methodology?","Iterative development with frequent feedback","Waterfall development","No planning approach","Hardware testing method",1,MEDIUM
12,"What is the Strategy design pattern?","Define a family of algorithms and make them interchangeable","Create object instances","Manage database connections","Handle user input",1,MEDIUM
13,"What is polymorphism in OOP?","Objects of different classes responding to same method","Using many variables","Writing long code","Compiling multiple times",1,MEDIUM
14,"What is encapsulation?","Hiding internal details and showing only necessary information","Encrypting data","Compressing files","Displaying output",1,MEDIUM
15,"What is inheritance in OOP?","Creating new classes from existing ones","Receiving data from network","Copying files","Running multiple programs",1,MEDIUM
16,"What is the purpose of a constructor?","Initialize object when it's created","Destroy objects","Compare objects","Sort objects",1,MEDIUM
17,"What is recursion?","A function calling itself","A loop","A variable","A class",1,MEDIUM
18,"What is a linked list?","A data structure with nodes pointing to next node","An array","A string","A number",1,MEDIUM
19,"What is Big O notation used for?","Analyzing algorithm time complexity","Writing code","Debugging","Testing",1,MEDIUM
20,"What is the difference between stack and heap?","Stack is for static allocation heap for dynamic","Stack is slower","Heap is smaller","No difference",1,MEDIUM
21,"What is the time complexity of binary search?","O(log n)","O(n)","O(n²)","O(1)",1,HARD
22,"What is a race condition?","Multiple threads accessing shared data causing conflicts","Slow program","Memory leak","Syntax error",1,HARD
23,"What is deadlock in concurrent programming?","Two or more threads waiting for each other indefinitely","Fast execution","Memory allocation","File reading",1,HARD
24,"What is the CAP theorem?","Consistency Availability Partition-tolerance tradeoff","Database design","Network protocol","Programming language",1,HARD
25,"What is dependency injection?","Providing dependencies from outside rather than creating internally","Writing functions","Using loops","Creating variables",1,HARD
26,"What is the purpose of a virtual function in C++?","Enable runtime polymorphism","Compile faster","Save memory","Print output",1,HARD
27,"What is memoization?","Caching function results to avoid recomputation","Deleting data","Printing output","Compiling code",1,HARD
28,"What is the difference between HashMap and TreeMap?","HashMap is O(1) TreeMap is O(log n) and sorted","HashMap is slower","TreeMap uses more memory","No difference",1,HARD
29,"What is the producer-consumer problem?","Synchronization problem with shared buffer","Syntax error","Memory leak","Network issue",1,HARD
30,"What is tail recursion?","Recursive call is the last operation in function","First recursive call","Middle recursive call","No recursive call",1,HARD
31,"What is the halting problem?","Impossibility of determining if a program will terminate","Stopping a program","Pausing execution","Debugging code",1,EXPERT
32,"What is Church-Turing thesis?","All computable functions can be computed by Turing machine","Programming language theory","Database theory","Network protocol",1,EXPERT
33,"What is P vs NP problem?","Whether problems verifiable in polynomial time are solvable in polynomial time","Programming syntax","Database design","Network speed",1,EXPERT
34,"What is continuation passing style?","Programming style where control is passed explicitly via continuations","Object-oriented style","Functional style","Procedural style",1,EXPERT
35,"What is the Y combinator?","Fixed-point combinator enabling recursion in lambda calculus","A startup incubator","A programming language","A database",1,EXPERT
36,"What is a monad in functional programming?","Design pattern for chaining operations with context","A loop","A variable","A class",1,EXPERT
37,"What is the actor model?","Concurrent computation model using message-passing actors","Database model","Network model","Graphics model",1,EXPERT
38,"What is Curry-Howard correspondence?","Relationship between proofs and programs","Database relationship","Network protocol","File system",1,EXPERT
39,"What is dependent type theory?","Type system where types depend on values","Regular typing","No typing","Dynamic typing",1,EXPERT
40,"What is the Coppersmith-Winograd algorithm?","Fast matrix multiplication algorithm","Sorting algorithm","Search algorithm","Graph algorithm",1,EXPERT
